
Time;TrialNum;TriggerNum,Referencelandmark;Displaylandmark, GroundTruthDirection; EstDirection; Angle
8/3/2022 1:20:08 PM;;;;;;;
Time;TrialNum;TriggerNum,Referencelandmark;Displaylandmark, GroundTruthDirection; EstDirection; Angle
8/3/2022 1:20:12 PM;;;;;;;
8/3/2022 1:21:26 PM;0;1;lm3front;shopSigns1;(-0.103, 0.000, -0.995);(0.128, 0.000, 0.992);178.605
8/3/2022 1:22:06 PM;1;2;lm3front;stairBalcony2;(-0.354, 0.000, -0.935);(0.044, 0.000, -0.998);23.259
8/3/2022 1:22:17 PM;2;3;lm3front;ShopTent4;(0.070, 0.000, 0.998);(-0.947, 0.000, 0.319);75.357
8/3/2022 1:22:22 PM;3;4;lm3front;hotel5;(-0.512, 0.000, 0.857);(0.152, 0.000, 0.971);39.768
8/3/2022 1:22:28 PM;4;5;lm3front;phoneAds6;(-0.991, 0.000, 0.134);(0.447, 0.000, -0.891);124.354
8/3/2022 1:23:10 PM;5;7;lm5front;shopSigns1;(0.160, 0.000, -0.987);(0.418, 0.000, -0.905);15.567
8/3/2022 1:23:19 PM;6;8;lm5front;stairBalcony2;(0.023, 0.000, -1.000);(0.018, 0.000, -1.000);0.310
8/3/2022 1:23:29 PM;7;9;lm5front;xbalcony3;(0.524, 0.000, -0.851);(-0.651, 0.000, 0.758);170.986
8/3/2022 1:23:36 PM;8;10;lm5front;ShopTent4;(0.926, 0.000, -0.377);(-0.867, 0.000, 0.488);172.795
8/3/2022 1:23:50 PM;9;11;lm5front;phoneAds6;(-0.635, 0.000, -0.773);(0.775, 0.000, 0.559);165.229
8/3/2022 1:24:16 PM;10;13;lm6front;shopSigns1;(0.540, 0.000, -0.841);(0.669, 0.000, -0.734);9.620
8/3/2022 1:24:23 PM;11;14;lm6front;stairBalcony2;(0.425, 0.000, -0.905);(-0.403, 0.000, 0.903);178.883
8/3/2022 1:24:28 PM;12;15;lm6front;xbalcony3;(0.992, 0.000, -0.117);(-0.650, 0.000, -0.757);123.940
8/3/2022 1:24:29 PM;13;16;lm6front;ShopTent4;(0.898, 0.000, 0.439);(0.236, 0.000, -0.970);102.385
8/3/2022 1:24:33 PM;14;17;lm6front;hotel5;(0.528, 0.000, 0.847);(-0.654, 0.000, 0.739);73.439
8/3/2022 1:24:46 PM;15;19;lm2front;shopSigns1;(0.953, 0.000, -0.301);(-0.590, 0.000, 0.803);143.841
8/3/2022 1:24:50 PM;16;20;lm2front;xbalcony3;(0.424, 0.000, 0.905);(0.301, 0.000, 0.953);7.529
8/3/2022 1:24:53 PM;17;21;lm2front;ShopTent4;(0.282, 0.000, 0.959);(0.604, 0.000, -0.797);126.455
8/3/2022 1:24:55 PM;18;22;lm2front;hotel5;(-0.027, 0.000, 0.999);(0.307, 0.000, -0.887);162.456
8/3/2022 1:24:59 PM;19;23;lm2front;phoneAds6;(-0.410, 0.000, 0.912);(-0.672, 0.000, -0.724);112.893
8/3/2022 1:25:09 PM;20;25;lm4front;shopSigns1;(-0.103, 0.000, -0.995);(-0.187, 0.000, 0.982);163.279
8/3/2022 1:25:19 PM;21;26;lm4front;stairBalcony2;(-0.267, 0.000, -0.964);(0.097, 0.000, -0.994);21.067
8/3/2022 1:25:22 PM;22;27;lm4front;xbalcony3;(-0.021, 0.000, -0.997);(0.054, 0.000, -0.996);4.351
8/3/2022 1:25:29 PM;23;28;lm4front;hotel5;(-0.928, 0.000, 0.361);(0.934, 0.000, 0.226);145.143
8/3/2022 1:25:32 PM;24;29;lm4front;phoneAds6;(-0.908, 0.000, -0.418);(-0.230, 0.000, 0.972);101.393
8/3/2022 1:25:54 PM;25;31;lm1front;stairBalcony2;(-0.870, 0.000, 0.492);(0.731, 0.000, -0.678);166.621
8/3/2022 1:26:02 PM;26;32;lm1front;xbalcony3;(0.149, 0.000, 0.988);(-0.552, 0.000, 0.828);42.233
8/3/2022 1:26:04 PM;27;33;lm1front;ShopTent4;(0.095, 0.000, 0.995);(-0.993, 0.000, 0.110);89.171
8/3/2022 1:26:11 PM;28;34;lm1front;hotel5;(-0.178, 0.000, 0.984);(0.607, 0.000, -0.775);152.169
8/3/2022 1:26:13 PM;29;35;lm1front;phoneAds6;(-0.540, 0.000, 0.842);(0.533, 0.000, 0.846);64.920
