
Time;TrialNum;TriggerNum,Referencelandmark;Displaylandmark, GroundTruthDirection; EstDirection; Angle
7/29/2022 4:35:42 PM;;;;;;;
Time;TrialNum;TriggerNum,Referencelandmark;Displaylandmark, GroundTruthDirection; EstDirection; Angle
7/29/2022 4:35:54 PM;;;;;;;
Time;TrialNum;TriggerNum,Referencelandmark;Displaylandmark, GroundTruthDirection; EstDirection; Angle
7/30/2022 2:10:07 PM;;;;;;;
7/30/2022 2:10:55 PM;0;1;lm1front;stairBalcony2;(-0.870, 0.000, 0.491);(0.956, 0.000, -0.258);165.638
7/30/2022 2:11:03 PM;1;2;lm1front;xbalcony3;(0.149, 0.000, 0.988);(0.896, 0.000, -0.418);106.436
7/30/2022 2:11:04 PM;2;3;lm1front;ShopTent4;(0.095, 0.000, 0.995);(0.894, 0.000, -0.428);110.110
7/30/2022 2:11:04 PM;3;4;lm1front;hotel5;(-0.178, 0.000, 0.984);(0.903, 0.000, -0.413);124.861
7/30/2022 2:11:04 PM;4;5;lm1front;phoneAds6;(-0.540, 0.000, 0.842);(0.901, 0.000, -0.419);147.643
7/30/2022 2:11:04 PM;5;6;lm1front;phoneAds6;(-0.540, 0.000, 0.842);(0.877, 0.000, -0.461);150.403
7/30/2022 2:11:06 PM;6;8;lm4front;stairBalcony2;(-0.267, 0.000, -0.964);(0.889, 0.000, -0.439);79.204
7/30/2022 2:11:06 PM;7;9;lm4front;xbalcony3;(-0.021, 0.000, -0.997);(0.894, 0.000, -0.430);65.562
7/30/2022 2:11:08 PM;8;10;lm4front;hotel5;(-0.928, 0.000, 0.361);(-0.188, 0.000, 0.959);57.690
7/30/2022 2:11:09 PM;9;11;lm4front;phoneAds6;(-0.908, 0.000, -0.418);(-0.125, 0.000, 0.966);107.335
7/30/2022 2:11:10 PM;10;12;lm4front;phoneAds6;(-0.908, 0.000, -0.418);(-0.005, 0.000, 0.971);114.441
7/30/2022 2:11:11 PM;11;13;lm5front;shopSigns1;(0.160, 0.000, -0.987);(0.529, 0.000, 0.830);138.261
7/30/2022 2:11:12 PM;12;15;lm5front;xbalcony3;(0.524, 0.000, -0.850);(0.824, 0.000, -0.549);24.680
7/30/2022 2:11:13 PM;13;16;lm5front;ShopTent4;(0.926, 0.000, -0.377);(-0.100, 0.000, -0.978);73.685
7/30/2022 2:11:14 PM;14;17;lm5front;phoneAds6;(-0.635, 0.000, -0.773);(-0.042, 0.000, -0.985);36.986
